//this config file was auto-generated by Excel2lua tool do not modify it!
ID,RoleName,AssetID,AI,DungeonAnimator,OtherAnimator,OtherBattleFormName,OtherBattleFormRes,OtherBattleFormAniController,Health,ATK,RDM,CRT,CRTD,Element,PassiveSkills,IsBoss,Probability,EnergyBallIds,EnergyBallWeight,MonsterType
114044,区域1（受击减能量回复）-lie,2710031,1010010,2700031_battle_controller.controller,,,,,192000,8000,4000,0.05,0,4,101001,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114045,区域1（受击减能量回复）-lie,2710031,1010010,2700031_battle_controller.controller,,,,,192000,8000,4000,0.05,0,4,101001,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114046,区域1（Boss，受击切技能）-greed,2810061,1010020,2800061_battle_controller.controller,,,,,800000,8000,4000,0.05,0,4,101002,1,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114051,区域2（群体DOT）-lie,2710032,1010040,2700031_battle_controller.controller,,,,,216000,9000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114052,区域2（群体DOT）-lie,2710032,1010040,2700031_battle_controller.controller,,,,,216000,9000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114053,区域3（单体DOT）-complain,2730051,101301,2700041_battle_controller.controller,,,,,68000,9000,4000,0.05,0,4,101004,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114054,区域3（单体DOT）-complain,2730051,101311,2700041_battle_controller.controller,,,,,108000,9000,4000,0.05,0,4,101004,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114055,区域3（单体DOT）-complain,2730051,101321,2700041_battle_controller.controller,,,,,68000,9000,4000,0.05,0,4,101004,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114061,区域3（单体DOT）-complain,2730051,101301,2700041_battle_controller.controller,,,,,80000,10000,4000,0.05,0,4,101004,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114062,区域3（单体DOT）-complain,2730051,101311,2700041_battle_controller.controller,,,,,120000,10000,4000,0.05,0,4,101004,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114063,区域3（单体DOT）-complain,2730051,101321,2700041_battle_controller.controller,,,,,80000,10000,4000,0.05,0,4,101004,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114064,区域2（群体DOT）-lie,2710032,1010040,2700031_battle_controller.controller,,,,,240000,10000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114065,区域2（群体DOT）-lie,2710032,1010040,2700031_battle_controller.controller,,,,,240000,10000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114066,区域1（Boss，受击切技能）-greed,2810061,1010020,2800061_battle_controller.controller,,,,,1000000,10000,4000,0.05,0,4,101002,1,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
200101,envy,2700011,101221,2700011_battle_controller.controller,,,,,33000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
200102,envy,2700011,101221,2700011_battle_controller.controller,,,,,14000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
200201,envy,2700011,101211,2700011_battle_controller.controller,,,,,14000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
200202,envy,2700011,101221,2700011_battle_controller.controller,,,,,14000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
200301,envy,2700011,101201,2700011_battle_controller.controller,,,,,14000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
200401,lie,2700031,2001,2700031_battle_controller.controller,,,,,80000,5500,4000,0.05,0,1,,,100,6;7;8;9;10;11;12;13;14;15,20|20|20|20|20|5|5|5|5|5,
200501,envy,2700011,101211,2700011_battle_controller.controller,,,,,18000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
200502,envy,2700011,101221,2700011_battle_controller.controller,,,,,18000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
200601,lie,2700031,2001,2700031_battle_controller.controller,,,,,80000,5500,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
200701,精英greed,2800061,2003,2800061_battle_controller.controller,,,,,204000,6500,4000,0.05,0,1,28060402,1,100,11;12;13;14;15,5|5|5|5|5,
200801,complain,2700041,101301,2700041_battle_controller.controller,,,,,28000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
200802,angry,2700021,101612,2700021_battle_controller.controller,,,,,45000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
200803,angry,2700021,101622,2700021_battle_controller.controller,,,,,45000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
200804,complain,2700041,101311,2700041_battle_controller.controller,,,,,28000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
200805,complain,2700041,101321,2700041_battle_controller.controller,,,,,28000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
200901,lie,2700031,101002,2700031_battle_controller.controller,,,,,120000,5500,4000,0.05,0,2,,,100,6;7;8;9;10;11;12;13;14;15,20|20|20|20|20|5|5|5|5|5,
200902,envy,2700011,101201,2700011_battle_controller.controller,,,,,14000,6000,4000,0.05,0,3,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201001,angry,2700021,101602,2700021_battle_controller.controller,,,,,45000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201002,envy,2700011,101201,2700011_battle_controller.controller,,,,,18000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201003,lie,2700031,2001,2700031_battle_controller.controller,,,,,120000,5500,4000,0.05,0,3,,,100,6;7;8;9;10;11;12;13;14;15,20|20|20|20|20|5|5|5|5|5,
201101,angry,2700021,101602,2700021_battle_controller.controller,,,,,45000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201102,angry,2700021,101612,2700021_battle_controller.controller,,,,,45000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201103,angry,2700021,101622,2700021_battle_controller.controller,,,,,45000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201201,lie,2700031,2001,2700031_battle_controller.controller,,,,,120000,5500,4000,0.05,0,3,,,100,6;7;8;9;10;11;12;13;14;15,20|20|20|20|20|5|5|5|5|5,
201202,lie,2700031,102401,2700031_battle_controller.controller,,,,,120000,5500,4000,0.05,0,2,,,100,6;7;8;9;10;11;12;13;14;15,20|20|20|20|20|5|5|5|5|5,
201301,envy,2700011,101201,2700011_battle_controller.controller,,,,,14000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201401,envy,2700011,101211,2700011_battle_controller.controller,,,,,14000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201402,complain,2700041,101301,2700041_battle_controller.controller,,,,,28000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201403,envy,2700011,101221,2700011_battle_controller.controller,,,,,14000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201501,lie,2700031,102401,2700031_battle_controller.controller,,,,,180000,5500,4000,0.05,0,2,,,100,6;7;8;9;10;11;12;13;14;15,20|20|20|20|20|5|5|5|5|5,
201502,angry,2700021,101612,2700021_battle_controller.controller,,,,,45000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201503,angry,2700021,101622,2700021_battle_controller.controller,,,,,45000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201601,envy,2700011,101201,2700011_battle_controller.controller,,,,,14000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201701,envy,2700011,101211,2700011_battle_controller.controller,,,,,14000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201702,complain,2700041,101301,2700041_battle_controller.controller,,,,,28000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201703,envy,2700011,101221,2700011_battle_controller.controller,,,,,14000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201801,complain,2700041,101301,2700041_battle_controller.controller,,,,,28000,6000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
201802,lie,2700031,101002,2700031_battle_controller.controller,,,,,120000,5500,4000,0.05,0,2,,,100,6;7;8;9;10;11;12;13;14;15,20|20|20|20|20|5|5|5|5|5,
201901,hate,2800051,2004,2800051_battle_controller.controller,,FormView[2],2800052,2800052_battle_controller.controller,904000,7000,4000,0.05,0,2,28060402,1,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
202001,complain,2700041,102301,2700041_battle_controller.controller,,,,,28000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
202002,angry,2700021,101612,2700021_battle_controller.controller,,,,,45000,6000,4000,0.05,0,1,28060403,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
202003,angry,2700021,101622,2700021_battle_controller.controller,,,,,45000,6000,4000,0.05,0,1,28060403,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
203001,lie,2700031,102401,2700031_battle_controller.controller,,,,,240000,5500,4000,0.05,0,1,,,100,6;7;8;9;10;11;12;13;14;15,20|20|20|20|20|5|5|5|5|5,
203002,complain,2700041,101311,2700041_battle_controller.controller,,,,,28000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
203003,complain,2700041,101321,2700041_battle_controller.controller,,,,,28000,6000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
204001,精英greed,2800061,2003,2800061_battle_controller.controller,,,,,504000,6000,4000,0.05,0,1,28060403;28060402,1,100,11;12;13;14;15,5|5|5|5|5,
