//this config file was auto-generated by Excel2lua tool do not modify it!
ID,LogicDec,LogicNode,LogicParam1,LogicParam2,LogicParam3,LogicParam4,LogicParam5,LogicParam6,LogicParam7,LogicParam8
281202,complain-持续伤害触发器,42,281203,1,1,0,1000,2000,,
281203,complain-持续伤害,1,2,1,FALSE,1,ATK,-0.1,,
281401,区域3（次数护盾）-lie-技能2-次数护盾,21000901,15,10000,,,,,,
281501,区域1（受击提升自身伤害）-触发器,21000107,281502,,,,,,,
281502,区域1（受击提升自身伤害）-提高伤害buff,21000301,DamageEnhance,1,0.2,,,,,
281503,区域1（受击减能量回复）,21000301,EnergyReduce,1,5,,,,,
281504,区域1（受击切技能）-触发器,21000107,281505,,,,,,,
281506,区域1（受击回血）-计数触发器,21000107,281507,,,,,,,
281508,区域1（受击回血）-治疗触发器,21000107,281510,,,,,,,
281509,区域1（受击回血）-增加防御,21000301	,RDM,2,50000,,,,,
281510,区域1（受击回血）-条件触发器,21000801,1401305,281509,,,,,,
281601,测试-触发狂暴,21000118,281602,2,5000,,,,,
281602,测试-狂暴,21002101,5000,,,,,,,
281701,测试-伤害转治疗,21000204,5000,5000,,,,,,
281702,测试-免伤,21002001,281701,1,1000,1,,,,
281801,小怪debuff,21000201,-100000,1,FALSE,,,,,
281802,指挥官死时触发小怪自己,21000119,281801,281807,,,,,,
281803,爆炸,21001202,ATK,1,10000,5000,,,,
281806,指挥官 触发爆炸 触发器,21000121,281803,281804;281805,,,,,,
281807,唯一,21002701,,,,,,,,
281901,怪物：嘲讽,21001402,,,,,,,,
282001,指挥官伤害传递持续施法,21002501,282002,,,,,,,
282002,指挥官伤害传递,21002301,1,10000,,,,,,
282101,打断,21002601,,,,,,,,
282201,弱点,21002702,282202,5000,,,,,,
282202,洞察传递,21000114,282203,-1,-1,0,,,,
282203,洞察-加伤害,21000301,DamageEnhance,1,0.3,,,,,
282301,15hit以上无伤害-触发器,21000107,282302,,,,,,,
282303,15hit以上无伤害-防御触发器,21000107,282305,,,,,,,
282304,15hit以上无伤害-防御增加,21000301	,RDM,2,50000,,,,,
282305,15hit以上无伤害-条件触发器,21000801,1401306,282304,,,,,,
282306,15hit以上无伤害-防御增加,21000301	,RDM,1,50000,,,,,
282307,15hit以下无伤害-触发器,21000107,282308,,,,,,,
282309,15hit以下无伤害-移除防御触发器,21000107,282311,,,,,,,
282310,15hit以下无伤害-移除防御增加,21000301	,RDM,1,-50000,,,,,
282311,15hit以下无伤害-条件触发器,21000801,1401306,282309,,,,,,
282312,15hit以下无伤害-buff转换1,21000105,282306;282307,,,,,,,
282313,15hit以下无伤害-buff转换2,21000105,282301,,,,,,,
282314,判断trigger,21000803,282313,str_ui_battle_buff_tips_97,1,,,,,
282315,主动出击buff-受到伤害提高,21000301,DamageDeepenPercentage,2,10000,,,,,
282316,主动出击buff-技能2受到伤害提高,21000301,DamageDeepenPercentage,2,5000,,,,,
282317,混乱：UI,21003102,,,,,,,,
282318,混乱：定时触发器,21000130,282319,3000,1,,,,,
282319,混乱：随机释放技能,21003001,1|5|5|5,,,,,,,
282320,血量低触发隐匿,21000131,282321,2,5000,1,,,,
282321,延迟触发,21000132,282322;282323;282325,,,,,,,
282322,隐匿,21002801,,,,,,,,
282323,受到伤害时触发,21000129,282324,,,,,,,
282324,关闭隐匿,21001001,282322,1,,,,,,
282325,销毁延迟触发,21001001,282321,1,,,,,,
282326,固定值盾,21000902,10000,,,,,,,
282327,限制行动怪物-被动触发,21000124,282328,,,,,,,
282328,限制行动怪物-被动触发-伤害,21000201,-10000,1,FALSE,,,,,
282401,宝箱怪-屏蔽ui触发,21000108,282402,1,,,,,,
282402,宝箱怪-控制ui,21003101,,,,,,,,
282403,宝箱怪-技能结束触发,21000109,282404,1,,,,,,
282404,宝箱怪-死亡,21003201,FALSE,,,,,,,
282501,复活怪-自爆复活,21003301,100135,,,,,,,
282502,复活怪-死亡不走死亡流程,21003201,TRUE,,,,,,,
282601,主动出击怪物-嘲讽,21001402,,,,,,,,
300001,关卡回血包,304,2,1,,,,,,
201004,体验关——怪物A技能2持续掉血触发器,42,201005,1,1,0,2000,30,,
201005,体验关——怪物A技能2持续掉血,1,2,1,FALSE,1,ATK,-0.025,,
209001,体验关——complain-腐化,54,209002,1,1,,,,,
209002,体验关——complain-持续伤害触发器,42,209003,1,1,0,1000,2000,,
209003,体验关——complain-持续伤害,1,2,1,FALSE,1,ATK,-0.1,,
301001,体验关——小怪的连招护盾,21000901,10,10000,202004,fx_p_12000601_passiveskill_02_heal,,,,
302001,体验关——减少行动条2,6,1,1,-2,,,,,
303001,体验关——非克属反伤,56,2,0.5,,,,,,
304001,体验关——BOSS的连招护盾,21000901,15,10000,202004,fx_p_12000601_passiveskill_02_heal,,,,
305001,体验关——BOSS加费,13,1,1,1,1,1,999,,
306001,体验关——马脸怪护盾,21000901,10,10000,fx_p_110031001_rend_hit,,,,,
401001,挑战关-次数护盾,21000901,20,10000,fx_p_110031001_rend_hit,,,,,
401002,挑战关-固定减伤,21000301,DamageReductionValue,1,500,,,,,
401003,挑战关-固定减能,21000301,EnergyReduce,1,3,,,,,
1050000,测试柯锡丝被动,34,3,1,1050001,,,,,
1050001,测试柯锡丝被动1,35,1,1050002,,,,,,
1050002,测试柯锡丝被动2吸血,36,1,2,0.5,,,,,
10000001,副本增加移速,4,DSpeedAdd,1,5,,,,,
10000002,陷阱复活角色,201,,,,,,,,
10000003,角色触电减速,4,DSpeedAdd,1,-3,,,,,
10000004,角色触电状态,202,hit_thunder,10000002,10000004,,,,,
10000005,百分比扣血,203,-0.05,,,,,,,
10000006,跌落虚空复活,303,,,,,,,,
20000001,我方队伍全员加行动值,305,50,1,,,,,,
20000002,行动值4点,21000704,400,,,,,,,
20000003,挑战关血包,31000201,2,10000,,,,,,
20000004,挑战关行动值6点,21000704,800,,,,,,,
20000005,挑战关能量包,31000101,10000,,,,,,,
20000006,挑战关减少主动技能消耗,21001702,-1,,,,,,,
20000007,挑战关行动值回复增加,21002401,5000,,,,,,,
1,空节点,0,,,,,,,,
